benchmark,mode,il1_miss_rate,dl1_miss_rate,ul2_miss_rate,sim_num_insn,sim_elapsed_time,sim_CPI,vc_lookups,vc_hits,mc_lookups,mc_hits,sb_lookups,sb_hits,sb_prefetches,ul2_d_accesses,ul2_i_accesses
test-fmath,miss_stream,0.0110,0.1086,1.0000,53949,1,,0,0,1814,210,1604,262,1342,3816,592
test-llong,miss_stream,0.0101,0.0628,1.0000,30132,1,,0,0,661,37,624,218,406,1349,305
test-lswlr,miss_stream,0.0270,0.1120,1.0000,9367,1,,0,0,536,36,500,202,298,1062,253
test-math,miss_stream,0.0042,0.1340,1.0000,214193,1,,0,0,7710,1135,6575,635,5940,16392,907
test-fmath,miss_stream,0.0110,0.1087,1.0000,53931,1,,0,0,1815,210,1605,263,1342,3816,592
test-llong,miss_stream,0.0101,0.0629,1.0000,30114,1,,0,0,662,37,625,219,406,1349,305
test-lswlr,miss_stream,0.0271,0.1122,1.0000,9349,1,,0,0,537,36,501,203,298,1062,253
test-math,miss_stream,0.0042,0.1341,1.0000,214171,1,,0,0,7711,1135,6576,636,5940,16392,907
test-fmath,miss_stream,0.0110,0.1087,1.0000,53931,1,,0,0,1815,210,1605,263,1342,3816,592
test-llong,miss_stream,0.0101,0.0629,1.0000,30114,1,,0,0,662,37,625,219,406,1349,305
test-lswlr,miss_stream,0.0271,0.1122,1.0000,9349,1,,0,0,537,36,501,203,298,1062,253
test-math,miss_stream,0.0042,0.1341,1.0000,214171,1,,0,0,7711,1135,6576,636,5940,16392,907
