benchmark,mode,il1_miss_rate,dl1_miss_rate,ul2_miss_rate,sim_num_insn,sim_elapsed_time,sim_CPI,vc_lookups,vc_hits,mc_lookups,mc_hits,sb_lookups,sb_hits,sb_prefetches,ul2_d_accesses,ul2_i_accesses
test-fmath,victim_stream,0.0110,0.0347,1.0000,53949,1,,580,38,0,0,542,303,717,1224,592
test-llong,victim_stream,0.0101,0.0457,1.0000,30132,1,,481,5,0,0,476,302,522,902,305
test-lswlr,victim_stream,0.0270,0.0963,1.0000,9367,1,,461,0,0,0,461,301,480,832,253
test-math,victim_stream,0.0042,0.0140,1.0000,214193,1,,806,71,0,0,735,335,1200,2016,907
test-fmath,victim_stream,0.0110,0.0347,1.0000,53949,1,,580,38,0,0,542,303,717,1224,592
test-llong,victim_stream,0.0101,0.0457,1.0000,30132,1,,481,5,0,0,476,302,522,902,305
test-lswlr,victim_stream,0.0270,0.0963,1.0000,9367,1,,461,0,0,0,461,301,480,832,253
test-math,victim_stream,0.0042,0.0140,1.0000,214193,1,,806,71,0,0,735,335,1200,2016,907
test-fmath,victim_stream,0.0110,0.0348,1.0000,53931,1,,581,38,0,0,543,304,717,1224,592
test-llong,victim_stream,0.0101,0.0458,1.0000,30114,1,,482,5,0,0,477,303,522,902,305
test-lswlr,victim_stream,0.0271,0.0966,1.0000,9349,1,,462,0,0,0,462,302,480,832,253
test-math,victim_stream,0.0042,0.0140,1.0000,214171,1,,807,71,0,0,736,336,1200,2016,907
test-fmath,victim_stream,0.0110,0.0348,1.0000,53931,1,,581,38,0,0,543,304,717,1224,592
test-llong,victim_stream,0.0101,0.0458,1.0000,30114,1,,482,5,0,0,477,303,522,902,305
test-lswlr,victim_stream,0.0271,0.0966,1.0000,9349,1,,462,0,0,0,462,302,480,832,253
test-math,victim_stream,0.0042,0.0140,1.0000,214171,1,,807,71,0,0,736,336,1200,2016,907
test-fmath,victim_stream,0.0110,0.0348,1.0000,53931,1,,581,38,0,0,543,304,717,1224,592
test-llong,victim_stream,0.0101,0.0458,1.0000,30114,1,,482,5,0,0,477,303,522,902,305
test-lswlr,victim_stream,0.0271,0.0966,1.0000,9349,1,,462,0,0,0,462,302,480,832,253
test-math,victim_stream,0.0042,0.0140,1.0000,214171,1,,807,71,0,0,736,336,1200,2016,907
test-fmath,victim_stream,0.0110,0.0348,1.0000,53931,1,,581,38,0,0,543,304,717,1224,592
test-llong,victim_stream,0.0101,0.0458,1.0000,30114,1,,482,5,0,0,477,303,522,902,305
test-lswlr,victim_stream,0.0271,0.0966,1.0000,9349,1,,462,0,0,0,462,302,480,832,253
test-math,victim_stream,0.0042,0.0140,1.0000,214171,1,,807,71,0,0,736,336,1200,2016,907
