benchmark,mode,il1_miss_rate,dl1_miss_rate,ul2_miss_rate,sim_num_insn,sim_elapsed_time,sim_CPI,vc_lookups,vc_hits,mc_lookups,mc_hits,sb_lookups,sb_hits,sb_prefetches,ul2_d_accesses,ul2_i_accesses
test-fmath,miss_stream,0.0110,0.0468,1.0000,53949,1,,0,0,782,215,567,306,783,1619,592
test-llong,miss_stream,0.0101,0.0518,1.0000,30132,1,,0,0,545,61,484,302,546,1157,305
test-lswlr,miss_stream,0.0270,0.1016,1.0000,9367,1,,0,0,486,20,466,301,495,1058,253
test-math,miss_stream,0.0042,0.0353,1.0000,214193,1,,0,0,2032,589,1443,363,3240,5647,907
test-fmath,miss_stream,0.0110,0.0468,1.0000,53949,1,,0,0,782,215,567,306,783,1619,592
test-llong,miss_stream,0.0101,0.0518,1.0000,30132,1,,0,0,545,61,484,302,546,1157,305
test-lswlr,miss_stream,0.0270,0.1016,1.0000,9367,1,,0,0,486,20,466,301,495,1058,253
test-math,miss_stream,0.0042,0.0353,1.0000,214193,1,,0,0,2032,589,1443,363,3240,5647,907
test-fmath,miss_stream,0.0110,0.0469,1.0000,53931,1,,0,0,783,215,568,307,783,1619,592
test-llong,miss_stream,0.0101,0.0519,1.0000,30114,1,,0,0,546,61,485,303,546,1157,305
test-lswlr,miss_stream,0.0271,0.1018,1.0000,9349,1,,0,0,487,20,467,302,495,1058,253
test-math,miss_stream,0.0042,0.0353,1.0000,214171,1,,0,0,2033,589,1444,364,3240,5647,907
test-fmath,miss_stream,0.0110,0.0469,1.0000,53931,1,,0,0,783,215,568,307,783,1619,592
test-llong,miss_stream,0.0101,0.0519,1.0000,30114,1,,0,0,546,61,485,303,546,1157,305
test-lswlr,miss_stream,0.0271,0.1018,1.0000,9349,1,,0,0,487,20,467,302,495,1058,253
test-math,miss_stream,0.0042,0.0353,1.0000,214171,1,,0,0,2033,589,1444,364,3240,5647,907
test-fmath,miss_stream,0.0110,0.0469,1.0000,53931,1,,0,0,783,215,568,307,783,1619,592
test-llong,miss_stream,0.0101,0.0519,1.0000,30114,1,,0,0,546,61,485,303,546,1157,305
test-lswlr,miss_stream,0.0271,0.1018,1.0000,9349,1,,0,0,487,20,467,302,495,1058,253
test-math,miss_stream,0.0042,0.0353,1.0000,214171,1,,0,0,2033,589,1444,364,3240,5647,907
test-fmath,miss_stream,0.0110,0.0469,1.0000,53931,1,,0,0,783,215,568,307,783,1619,592
test-llong,miss_stream,0.0101,0.0519,1.0000,30114,1,,0,0,546,61,485,303,546,1157,305
test-lswlr,miss_stream,0.0271,0.1018,1.0000,9349,1,,0,0,487,20,467,302,495,1058,253
test-math,miss_stream,0.0042,0.0353,1.0000,214171,1,,0,0,2033,589,1444,364,3240,5647,907
