benchmark,mode,il1_miss_rate,dl1_miss_rate,ul2_miss_rate,sim_num_insn,sim_elapsed_time,sim_CPI,vc_lookups,vc_hits,mc_lookups,mc_hits,sb_lookups,sb_hits,sb_prefetches,ul2_d_accesses,ul2_i_accesses
test-fmath,miss_stream,0.0110,0.1086,1.0000,53949,1,,0,0,1814,375,1439,388,3153,5336,592
test-llong,miss_stream,0.0101,0.0628,1.0000,30132,1,,0,0,661,45,616,331,855,1677,305
test-lswlr,miss_stream,0.0270,0.1120,1.0000,9367,1,,0,0,536,47,489,302,561,1214,253
test-math,miss_stream,0.0042,0.1340,1.0000,214193,1,,0,0,7710,2390,5320,879,13323,22276,907
test-fmath,miss_stream,0.0110,0.1086,1.0000,53949,1,,0,0,1814,375,1439,388,3153,5336,592
test-llong,miss_stream,0.0101,0.0628,1.0000,30132,1,,0,0,661,45,616,331,855,1677,305
test-lswlr,miss_stream,0.0270,0.1120,1.0000,9367,1,,0,0,536,47,489,302,561,1214,253
test-math,miss_stream,0.0042,0.1340,1.0000,214193,1,,0,0,7710,2390,5320,879,13323,22276,907
test-fmath,miss_stream,0.0110,0.1086,1.0000,53949,1,,0,0,1814,375,1439,388,3153,5336,592
test-llong,miss_stream,0.0101,0.0628,1.0000,30132,1,,0,0,661,45,616,331,855,1677,305
test-lswlr,miss_stream,0.0270,0.1120,1.0000,9367,1,,0,0,536,47,489,302,561,1214,253
test-math,miss_stream,0.0042,0.1340,1.0000,214193,1,,0,0,7710,2390,5320,879,13323,22276,907
test-fmath,miss_stream,0.0110,0.1087,1.0000,53931,1,,0,0,1815,375,1440,389,3153,5336,592
test-llong,miss_stream,0.0101,0.0629,1.0000,30114,1,,0,0,662,45,617,332,855,1677,305
test-lswlr,miss_stream,0.0271,0.1122,1.0000,9349,1,,0,0,537,47,490,303,561,1214,253
test-math,miss_stream,0.0042,0.1341,1.0000,214171,1,,0,0,7711,2390,5321,880,13323,22276,907
test-fmath,miss_stream,0.0110,0.1087,1.0000,53931,1,,0,0,1815,375,1440,389,3153,5336,592
test-llong,miss_stream,0.0101,0.0629,1.0000,30114,1,,0,0,662,45,617,332,855,1677,305
test-lswlr,miss_stream,0.0271,0.1122,1.0000,9349,1,,0,0,537,47,490,303,561,1214,253
test-math,miss_stream,0.0042,0.1341,1.0000,214171,1,,0,0,7711,2390,5321,880,13323,22276,907
test-fmath,miss_stream,0.0110,0.1087,1.0000,53931,1,,0,0,1815,375,1440,389,3153,5336,592
test-llong,miss_stream,0.0101,0.0629,1.0000,30114,1,,0,0,662,45,617,332,855,1677,305
test-lswlr,miss_stream,0.0271,0.1122,1.0000,9349,1,,0,0,537,47,490,303,561,1214,253
test-math,miss_stream,0.0042,0.1341,1.0000,214171,1,,0,0,7711,2390,5321,880,13323,22276,907
test-fmath,miss_stream,0.0110,0.1087,1.0000,53931,1,,0,0,1815,375,1440,389,3153,5336,592
test-llong,miss_stream,0.0101,0.0629,1.0000,30114,1,,0,0,662,45,617,332,855,1677,305
test-lswlr,miss_stream,0.0271,0.1122,1.0000,9349,1,,0,0,537,47,490,303,561,1214,253
test-math,miss_stream,0.0042,0.1341,1.0000,214171,1,,0,0,7711,2390,5321,880,13323,22276,907
test-fmath,miss_stream,0.0110,0.1087,1.0000,53931,1,,0,0,1815,375,1440,389,3153,5336,592
test-llong,miss_stream,0.0101,0.0629,1.0000,30114,1,,0,0,662,45,617,332,855,1677,305
test-lswlr,miss_stream,0.0271,0.1122,1.0000,9349,1,,0,0,537,47,490,303,561,1214,253
test-math,miss_stream,0.0042,0.1341,1.0000,214171,1,,0,0,7711,2390,5321,880,13323,22276,907
test-fmath,miss_stream,0.0110,0.1087,1.0000,53931,1,,0,0,1815,375,1440,389,3153,5336,592
test-llong,miss_stream,0.0101,0.0629,1.0000,30114,1,,0,0,662,45,617,332,855,1677,305
test-lswlr,miss_stream,0.0271,0.1122,1.0000,9349,1,,0,0,537,47,490,303,561,1214,253
test-math,miss_stream,0.0042,0.1341,1.0000,214171,1,,0,0,7711,2390,5321,880,13323,22276,907
