config,benchmark,mode,il1_miss_rate,dl1_miss_rate,ul2_miss_rate,sim_num_insn,sim_elapsed_time,sim_CPI,vc_lookups,vc_hits,vc_hit_rate,mc_lookups,mc_hits,mc_hit_rate,sb_lookups,sb_hits,sb_hit_rate,sb_prefetches,ul2_d_accesses,ul2_i_accesses,ul2_total_accesses,source_csv,dl1_cfg,ul2_cfg,dl1_bytes,ul2_bytes,vc_entries,mc_entries,sb_depth,ul2_demand,dl1_miss_base,ul2_miss_base,ul2_demand_base,cpi_base,dl1_miss_norm,ul2_miss_norm,ul2_demand_norm,cpi_norm
miss_stream_mc4_d16__dl1:16:32:1:l__ul2:32768:64:4:l,test-math,miss_stream,0.0042,0.134,1.0,214193,1,,0,0,,7710,2267,0.294,5443,1277,0.2346,62490,71168,907,72075.0,results/ss/miss_stream_mc4_d16__dl1:16:32:1:l__ul2:32768:64:4:l/ss_miss_stream.csv,dl1:16:32:1:l,ul2:32768:64:4:l,512.0,8388608.0,,4.0,16.0,72075.0,0.134,1.0,13129.0,,1.0,1.0,5.4897555030847744,
stream_d16__dl1:1024:32:1:l__ul2:32768:64:4:l,test-fmath,stream,0.011,0.0282,1.0,53949,1,,0,0,,0,0,,471,376,0.7983,1425,1520,592,2112.0,results/ss/stream_d16__dl1:1024:32:1:l__ul2:32768:64:4:l/ss_stream.csv,dl1:1024:32:1:l,ul2:32768:64:4:l,32768.0,8388608.0,,,16.0,2112.0,0.0282,1.0,1063.0,,1.0,1.0,1.986829727187206,
stream_d16__dl1:1024:32:1:l__ul2:32768:64:4:l,test-llong,stream,0.0101,0.0418,1.0,30132,1,,0,0,,0,0,,440,372,0.8455,1020,1088,305,1393.0,results/ss/stream_d16__dl1:1024:32:1:l__ul2:32768:64:4:l/ss_stream.csv,dl1:1024:32:1:l,ul2:32768:64:4:l,32768.0,8388608.0,,,16.0,1393.0,0.0418,1.0,745.0,,1.0,1.0,1.8697986577181207,
stream_d16__dl1:1024:32:1:l__ul2:32768:64:4:l,test-lswlr,stream,0.027,0.0909,1.0,9367,1,,0,0,,0,0,,435,371,0.8529,960,1024,253,1277.0,results/ss/stream_d16__dl1:1024:32:1:l__ul2:32768:64:4:l/ss_stream.csv,dl1:1024:32:1:l,ul2:32768:64:4:l,32768.0,8388608.0,,,16.0,1277.0,0.0909,1.0,688.0,,1.0,1.0,1.8561046511627908,
stream_d16__dl1:1024:32:1:l__ul2:32768:64:4:l,test-math,stream,0.0042,0.0095,1.0,214193,1,,0,0,,0,0,,544,398,0.7316,2190,2347,907,3254.0,results/ss/stream_d16__dl1:1024:32:1:l__ul2:32768:64:4:l/ss_stream.csv,dl1:1024:32:1:l,ul2:32768:64:4:l,32768.0,8388608.0,,,16.0,3254.0,0.0095,1.0,1462.0,,1.0,1.0,2.225718194254446,
miss_stream_mc4_d8__dl1:16:32:1:l__ul2:65536:64:4:l,test-fmath,miss_stream,0.011,0.1086,1.0,53949,1,,0,0,,1814,391,0.2155,1423,470,0.3303,6671,8756,592,9348.0,results/ss/miss_stream_mc4_d8__dl1:16:32:1:l__ul2:65536:64:4:l/ss_miss_stream.csv,dl1:16:32:1:l,ul2:65536:64:4:l,512.0,16777216.0,,4.0,8.0,9348.0,0.1086,1.0,3538.0,,1.0,1.0,2.6421707179197287,
miss_stream_mc4_d8__dl1:16:32:1:l__ul2:65536:64:4:l,test-llong,miss_stream,0.0101,0.0628,1.0,30132,1,,0,0,,661,46,0.0696,615,381,0.6195,1638,2409,305,2714.0,results/ss/miss_stream_mc4_d8__dl1:16:32:1:l__ul2:65536:64:4:l/ss_miss_stream.csv,dl1:16:32:1:l,ul2:65536:64:4:l,512.0,16777216.0,,4.0,8.0,2714.0,0.0628,1.0,1503.0,,1.0,1.0,1.8057218895542249,
miss_stream_mc4_d8__dl1:16:32:1:l__ul2:65536:64:4:l,test-lswlr,miss_stream,0.027,0.112,1.0,9367,1,,0,0,,536,47,0.0877,489,353,0.7219,952,1554,253,1807.0,results/ss/miss_stream_mc4_d8__dl1:16:32:1:l__ul2:65536:64:4:l/ss_miss_stream.csv,dl1:16:32:1:l,ul2:65536:64:4:l,512.0,16777216.0,,4.0,8.0,1807.0,0.112,1.0,1255.0,,1.0,1.0,1.4398406374501993,
miss_stream_mc4_d8__dl1:16:32:1:l__ul2:65536:64:4:l,test-math,miss_stream,0.0042,0.134,1.0,214193,1,,0,0,,7710,2356,0.3056,5354,1069,0.1997,29995,38792,907,39699.0,results/ss/miss_stream_mc4_d8__dl1:16:32:1:l__ul2:65536:64:4:l/ss_miss_stream.csv,dl1:16:32:1:l,ul2:65536:64:4:l,512.0,16777216.0,,4.0,8.0,39699.0,0.134,1.0,13129.0,,1.0,1.0,3.0237641861527917,
miss_stream_mc4_d8__dl1:16:32:1:l__ul2:65536:64:4:l,test-fmath,miss_stream,0.011,0.1086,1.0,53949,1,,0,0,,1814,391,0.2155,1423,470,0.3303,6671,8756,592,9348.0,results/ss/miss_stream_mc4_d8__dl1:16:32:1:l__ul2:65536:64:4:l/ss_miss_stream.csv,dl1:16:32:1:l,ul2:65536:64:4:l,512.0,16777216.0,,4.0,8.0,9348.0,0.1086,1.0,3538.0,,1.0,1.0,2.6421707179197287,
miss_stream_mc4_d8__dl1:16:32:1:l__ul2:65536:64:4:l,test-llong,miss_stream,0.0101,0.0628,1.0,30132,1,,0,0,,661,46,0.0696,615,381,0.6195,1638,2409,305,2714.0,results/ss/miss_stream_mc4_d8__dl1:16:32:1:l__ul2:65536:64:4:l/ss_miss_stream.csv,dl1:16:32:1:l,ul2:65536:64:4:l,512.0,16777216.0,,4.0,8.0,2714.0,0.0628,1.0,1503.0,,1.0,1.0,1.8057218895542249,
miss_stream_mc4_d8__dl1:16:32:1:l__ul2:65536:64:4:l,test-lswlr,miss_stream,0.027,0.112,1.0,9367,1,,0,0,,536,47,0.0877,489,353,0.7219,952,1554,253,1807.0,results/ss/miss_stream_mc4_d8__dl1:16:32:1:l__ul2:65536:64:4:l/ss_miss_stream.csv,dl1:16:32:1:l,ul2:65536:64:4:l,512.0,16777216.0,,4.0,8.0,1807.0,0.112,1.0,1255.0,,1.0,1.0,1.4398406374501993,
miss_stream_mc4_d8__dl1:16:32:1:l__ul2:65536:64:4:l,test-math,miss_stream,0.0042,0.134,1.0,214193,1,,0,0,,7710,2356,0.3056,5354,1069,0.1997,29995,38792,907,39699.0,results/ss/miss_stream_mc4_d8__dl1:16:32:1:l__ul2:65536:64:4:l/ss_miss_stream.csv,dl1:16:32:1:l,ul2:65536:64:4:l,512.0,16777216.0,,4.0,8.0,39699.0,0.134,1.0,13129.0,,1.0,1.0,3.0237641861527917,
victim_stream_vc4_d4__dl1:64:32:1:l__ul2:16384:64:4:l,test-fmath,victim_stream,0.011,0.0468,1.0,53949,1,,782,80,0.1023,0,0,,702,320,0.4558,1146,2103,592,2695.0,results/ss/victim_stream_vc4_d4__dl1:64:32:1:l__ul2:16384:64:4:l/ss_victim_stream.csv,dl1:64:32:1:l,ul2:16384:64:4:l,2048.0,4194304.0,4.0,,4.0,2695.0,0.0468,1.0,1949.0,,1.0,1.0,1.3827603899435608,
victim_stream_vc4_d4__dl1:64:32:1:l__ul2:16384:64:4:l,test-llong,victim_stream,0.0101,0.0518,1.0,30132,1,,545,23,0.0422,0,0,,522,306,0.5862,648,1293,305,1598.0,results/ss/victim_stream_vc4_d4__dl1:64:32:1:l__ul2:16384:64:4:l/ss_victim_stream.csv,dl1:64:32:1:l,ul2:16384:64:4:l,2048.0,4194304.0,4.0,,4.0,1598.0,0.0518,1.0,1279.0,,1.0,1.0,1.2494136043784208,
victim_stream_vc4_d4__dl1:64:32:1:l__ul2:16384:64:4:l,test-lswlr,victim_stream,0.027,0.1016,1.0,9367,1,,486,9,0.0185,0,0,,477,301,0.631,528,1102,253,1355.0,results/ss/victim_stream_vc4_d4__dl1:64:32:1:l__ul2:16384:64:4:l/ss_victim_stream.csv,dl1:64:32:1:l,ul2:16384:64:4:l,2048.0,4194304.0,4.0,,4.0,1355.0,0.1016,1.0,1137.0,,1.0,1.0,1.1917326297273527,
victim_stream_vc4_d4__dl1:64:32:1:l__ul2:16384:64:4:l,test-math,victim_stream,0.0042,0.0353,1.0,214193,1,,2032,229,0.1127,0,0,,1803,401,0.2224,4206,6935,907,7842.0,results/ss/victim_stream_vc4_d4__dl1:64:32:1:l__ul2:16384:64:4:l/ss_victim_stream.csv,dl1:64:32:1:l,ul2:16384:64:4:l,2048.0,4194304.0,4.0,,4.0,7842.0,0.0353,1.0,4266.0,,1.0,1.0,1.8382559774964837,
victim_stream_vc4_d4__dl1:64:32:1:l__ul2:16384:64:4:l,test-fmath,victim_stream,0.011,0.0468,1.0,53949,1,,782,80,0.1023,0,0,,702,320,0.4558,1146,2103,592,2695.0,results/ss/victim_stream_vc4_d4__dl1:64:32:1:l__ul2:16384:64:4:l/ss_victim_stream.csv,dl1:64:32:1:l,ul2:16384:64:4:l,2048.0,4194304.0,4.0,,4.0,2695.0,0.0468,1.0,1949.0,,1.0,1.0,1.3827603899435608,
victim_stream_vc4_d4__dl1:64:32:1:l__ul2:16384:64:4:l,test-llong,victim_stream,0.0101,0.0518,1.0,30132,1,,545,23,0.0422,0,0,,522,306,0.5862,648,1293,305,1598.0,results/ss/victim_stream_vc4_d4__dl1:64:32:1:l__ul2:16384:64:4:l/ss_victim_stream.csv,dl1:64:32:1:l,ul2:16384:64:4:l,2048.0,4194304.0,4.0,,4.0,1598.0,0.0518,1.0,1279.0,,1.0,1.0,1.2494136043784208,
victim_stream_vc4_d4__dl1:64:32:1:l__ul2:16384:64:4:l,test-lswlr,victim_stream,0.027,0.1016,1.0,9367,1,,486,9,0.0185,0,0,,477,301,0.631,528,1102,253,1355.0,results/ss/victim_stream_vc4_d4__dl1:64:32:1:l__ul2:16384:64:4:l/ss_victim_stream.csv,dl1:64:32:1:l,ul2:16384:64:4:l,2048.0,4194304.0,4.0,,4.0,1355.0,0.1016,1.0,1137.0,,1.0,1.0,1.1917326297273527,
