benchmark,mode,il1_miss_rate,dl1_miss_rate,ul2_miss_rate,sim_num_insn,sim_elapsed_time,sim_CPI,vc_lookups,vc_hits,mc_lookups,mc_hits,sb_lookups,sb_hits,sb_prefetches,ul2_d_accesses,ul2_i_accesses
test-fmath,victim_stream,0.0110,0.0282,1.0000,53949,1,,471,0,0,0,471,198,273,546,592
test-llong,victim_stream,0.0101,0.0418,1.0000,30132,1,,440,0,0,0,440,198,242,484,305
test-lswlr,victim_stream,0.0270,0.0909,1.0000,9367,1,,435,0,0,0,435,199,236,472,253
test-math,victim_stream,0.0042,0.0095,1.0000,214193,1,,544,0,0,0,544,210,334,679,907
test-fmath,victim_stream,0.0110,0.0282,1.0000,53949,1,,471,0,0,0,471,198,273,546,592
test-llong,victim_stream,0.0101,0.0418,1.0000,30132,1,,440,0,0,0,440,198,242,484,305
test-lswlr,victim_stream,0.0270,0.0909,1.0000,9367,1,,435,0,0,0,435,199,236,472,253
test-math,victim_stream,0.0042,0.0095,1.0000,214193,1,,544,0,0,0,544,210,334,679,907
test-fmath,victim_stream,0.0110,0.0283,1.0000,53931,1,,472,0,0,0,472,199,273,546,592
test-llong,victim_stream,0.0101,0.0419,1.0000,30114,1,,441,0,0,0,441,199,242,484,305
test-lswlr,victim_stream,0.0271,0.0911,1.0000,9349,1,,436,0,0,0,436,200,236,472,253
test-math,victim_stream,0.0042,0.0095,1.0000,214171,1,,545,0,0,0,545,211,334,679,907
test-fmath,victim_stream,0.0110,0.0283,1.0000,53931,1,,472,0,0,0,472,199,273,546,592
test-llong,victim_stream,0.0101,0.0419,1.0000,30114,1,,441,0,0,0,441,199,242,484,305
test-lswlr,victim_stream,0.0271,0.0911,1.0000,9349,1,,436,0,0,0,436,200,236,472,253
test-math,victim_stream,0.0042,0.0095,1.0000,214171,1,,545,0,0,0,545,211,334,679,907
test-fmath,victim_stream,0.0110,0.0283,1.0000,53931,1,,472,0,0,0,472,199,273,546,592
test-llong,victim_stream,0.0101,0.0419,1.0000,30114,1,,441,0,0,0,441,199,242,484,305
test-lswlr,victim_stream,0.0271,0.0911,1.0000,9349,1,,436,0,0,0,436,200,236,472,253
test-math,victim_stream,0.0042,0.0095,1.0000,214171,1,,545,0,0,0,545,211,334,679,907
test-fmath,victim_stream,0.0110,0.0283,1.0000,53931,1,,472,0,0,0,472,199,273,546,592
test-llong,victim_stream,0.0101,0.0419,1.0000,30114,1,,441,0,0,0,441,199,242,484,305
test-lswlr,victim_stream,0.0271,0.0911,1.0000,9349,1,,436,0,0,0,436,200,236,472,253
test-math,victim_stream,0.0042,0.0095,1.0000,214171,1,,545,0,0,0,545,211,334,679,907
