benchmark,mode,il1_miss_rate,dl1_miss_rate,ul2_miss_rate,sim_num_insn,sim_elapsed_time,sim_CPI,vc_lookups,vc_hits,mc_lookups,mc_hits,sb_lookups,sb_hits,sb_prefetches,ul2_d_accesses,ul2_i_accesses
test-fmath,miss_stream,0.0110,0.0347,1.0000,53949,1,,0,0,580,70,510,354,1092,1516,592
test-llong,miss_stream,0.0101,0.0457,1.0000,30132,1,,0,0,481,5,476,351,875,1206,305
test-lswlr,miss_stream,0.0270,0.0963,1.0000,9367,1,,0,0,461,0,461,350,777,1080,253
test-math,miss_stream,0.0042,0.0140,1.0000,214193,1,,0,0,806,2,804,403,2807,3624,907
test-fmath,miss_stream,0.0110,0.0347,1.0000,53949,1,,0,0,580,70,510,354,1092,1516,592
test-llong,miss_stream,0.0101,0.0457,1.0000,30132,1,,0,0,481,5,476,351,875,1206,305
test-lswlr,miss_stream,0.0270,0.0963,1.0000,9367,1,,0,0,461,0,461,350,777,1080,253
test-math,miss_stream,0.0042,0.0140,1.0000,214193,1,,0,0,806,2,804,403,2807,3624,907
test-fmath,miss_stream,0.0110,0.0348,1.0000,53931,1,,0,0,581,70,511,355,1092,1516,592
test-llong,miss_stream,0.0101,0.0458,1.0000,30114,1,,0,0,482,5,477,352,875,1206,305
test-lswlr,miss_stream,0.0271,0.0966,1.0000,9349,1,,0,0,462,0,462,351,777,1080,253
test-math,miss_stream,0.0042,0.0140,1.0000,214171,1,,0,0,807,2,805,404,2807,3624,907
test-fmath,miss_stream,0.0110,0.0348,1.0000,53931,1,,0,0,581,70,511,355,1092,1516,592
test-llong,miss_stream,0.0101,0.0458,1.0000,30114,1,,0,0,482,5,477,352,875,1206,305
test-lswlr,miss_stream,0.0271,0.0966,1.0000,9349,1,,0,0,462,0,462,351,777,1080,253
test-math,miss_stream,0.0042,0.0140,1.0000,214171,1,,0,0,807,2,805,404,2807,3624,907
test-fmath,miss_stream,0.0110,0.0348,1.0000,53931,1,,0,0,581,70,511,355,1092,1516,592
test-llong,miss_stream,0.0101,0.0458,1.0000,30114,1,,0,0,482,5,477,352,875,1206,305
test-lswlr,miss_stream,0.0271,0.0966,1.0000,9349,1,,0,0,462,0,462,351,777,1080,253
test-math,miss_stream,0.0042,0.0140,1.0000,214171,1,,0,0,807,2,805,404,2807,3624,907
test-fmath,miss_stream,0.0110,0.0348,1.0000,53931,1,,0,0,581,70,511,355,1092,1516,592
test-llong,miss_stream,0.0101,0.0458,1.0000,30114,1,,0,0,482,5,477,352,875,1206,305
test-lswlr,miss_stream,0.0271,0.0966,1.0000,9349,1,,0,0,462,0,462,351,777,1080,253
test-math,miss_stream,0.0042,0.0140,1.0000,214171,1,,0,0,807,2,805,404,2807,3624,907
