benchmark,mode,il1_miss_rate,dl1_miss_rate,ul2_miss_rate,sim_num_insn,sim_elapsed_time,sim_CPI,vc_lookups,vc_hits,mc_lookups,mc_hits,sb_lookups,sb_hits,sb_prefetches,ul2_d_accesses,ul2_i_accesses
test-fmath,stream,0.0110,0.1086,1.0000,53949,1,,0,0,0,0,1814,478,9352,11820,592
test-llong,stream,0.0101,0.0628,1.0000,30132,1,,0,0,0,0,661,382,1953,2769,305
test-lswlr,stream,0.0270,0.1120,1.0000,9367,1,,0,0,0,0,536,354,1274,1922,253
test-math,stream,0.0042,0.1340,1.0000,214193,1,,0,0,0,0,7710,1112,46186,57296,907
test-fmath,stream,0.0110,0.1087,1.0000,53931,1,,0,0,0,0,1815,479,9352,11820,592
test-llong,stream,0.0101,0.0629,1.0000,30114,1,,0,0,0,0,662,383,1953,2769,305
test-lswlr,stream,0.0271,0.1122,1.0000,9349,1,,0,0,0,0,537,355,1274,1922,253
test-math,stream,0.0042,0.1341,1.0000,214171,1,,0,0,0,0,7711,1113,46186,57296,907
test-fmath,stream,0.0110,0.1087,1.0000,53931,1,,0,0,0,0,1815,479,9352,11820,592
test-llong,stream,0.0101,0.0629,1.0000,30114,1,,0,0,0,0,662,383,1953,2769,305
test-lswlr,stream,0.0271,0.1122,1.0000,9349,1,,0,0,0,0,537,355,1274,1922,253
test-math,stream,0.0042,0.1341,1.0000,214171,1,,0,0,0,0,7711,1113,46186,57296,907
