benchmark,mode,il1_miss_rate,dl1_miss_rate,ul2_miss_rate,sim_num_insn,sim_elapsed_time,sim_CPI,vc_lookups,vc_hits,mc_lookups,mc_hits,sb_lookups,sb_hits,sb_prefetches,ul2_d_accesses,ul2_i_accesses
test-fmath,victim,0.0110,0.0468,1.0000,53949,1,,782,117,0,0,0,0,0,1240,592
test-llong,victim,0.0101,0.0518,1.0000,30132,1,,545,35,0,0,0,0,0,939,305
test-lswlr,victim,0.0270,0.1016,1.0000,9367,1,,486,11,0,0,0,0,0,873,253
test-math,victim,0.0042,0.0353,1.0000,214193,1,,2032,388,0,0,0,0,0,2971,907
test-fmath,victim,0.0110,0.0469,1.0000,53931,1,,783,117,0,0,0,0,0,1241,592
test-llong,victim,0.0101,0.0519,1.0000,30114,1,,546,35,0,0,0,0,0,940,305
test-lswlr,victim,0.0271,0.1018,1.0000,9349,1,,487,11,0,0,0,0,0,874,253
test-math,victim,0.0042,0.0353,1.0000,214171,1,,2033,388,0,0,0,0,0,2972,907
test-fmath,victim,0.0110,0.0469,1.0000,53931,1,,783,117,0,0,0,0,0,1241,592
test-llong,victim,0.0101,0.0519,1.0000,30114,1,,546,35,0,0,0,0,0,940,305
test-lswlr,victim,0.0271,0.1018,1.0000,9349,1,,487,11,0,0,0,0,0,874,253
test-math,victim,0.0042,0.0353,1.0000,214171,1,,2033,388,0,0,0,0,0,2972,907
