benchmark,mode,il1_miss_rate,dl1_miss_rate,ul2_miss_rate,sim_num_insn,sim_elapsed_time,sim_CPI,vc_lookups,vc_hits,mc_lookups,mc_hits,sb_lookups,sb_hits,sb_prefetches,ul2_d_accesses,ul2_i_accesses
test-fmath,stream,0.0110,0.0468,1.0000,53949,1,,0,0,0,0,782,382,2800,3775,592
test-llong,stream,0.0101,0.0518,1.0000,30132,1,,0,0,0,0,545,355,1330,1949,305
test-lswlr,stream,0.0270,0.1016,1.0000,9367,1,,0,0,0,0,486,352,938,1470,253
test-math,stream,0.0042,0.0353,1.0000,214193,1,,0,0,0,0,2032,517,10605,13447,907
test-fmath,stream,0.0110,0.0469,1.0000,53931,1,,0,0,0,0,783,383,2800,3775,592
test-llong,stream,0.0101,0.0519,1.0000,30114,1,,0,0,0,0,546,356,1330,1949,305
test-lswlr,stream,0.0271,0.1018,1.0000,9349,1,,0,0,0,0,487,353,938,1470,253
test-math,stream,0.0042,0.0353,1.0000,214171,1,,0,0,0,0,2033,518,10605,13447,907
test-fmath,stream,0.0110,0.0469,1.0000,53931,1,,0,0,0,0,783,383,2800,3775,592
test-llong,stream,0.0101,0.0519,1.0000,30114,1,,0,0,0,0,546,356,1330,1949,305
test-lswlr,stream,0.0271,0.1018,1.0000,9349,1,,0,0,0,0,487,353,938,1470,253
test-math,stream,0.0042,0.0353,1.0000,214171,1,,0,0,0,0,2033,518,10605,13447,907
