benchmark,mode,il1_miss_rate,dl1_miss_rate,ul2_miss_rate,sim_num_insn,sim_elapsed_time,sim_CPI,vc_lookups,vc_hits,mc_lookups,mc_hits,sb_lookups,sb_hits,sb_prefetches,ul2_d_accesses,ul2_i_accesses
test-fmath,miss_stream,0.0110,0.1086,1.0000,53949,1,,0,0,1814,522,1292,512,11700,13612,592
test-llong,miss_stream,0.0101,0.0628,1.0000,30132,1,,0,0,661,60,601,408,2895,3625,305
test-lswlr,miss_stream,0.0270,0.1120,1.0000,9367,1,,0,0,536,53,483,379,1560,2130,253
test-math,miss_stream,0.0042,0.1340,1.0000,214193,1,,0,0,7710,3562,4148,987,47415,55088,907
