benchmark,mode,il1_miss_rate,dl1_miss_rate,ul2_miss_rate,sim_num_insn,sim_elapsed_time,sim_CPI,vc_lookups,vc_hits,mc_lookups,mc_hits,sb_lookups,sb_hits,sb_prefetches,ul2_d_accesses,ul2_i_accesses
test-fmath,miss_stream,0.0110,0.1086,1.0000,53949,1,,0,0,1814,372,1442,519,13845,15900,592
test-llong,miss_stream,0.0101,0.0628,1.0000,30132,1,,0,0,661,49,612,408,3060,3801,305
test-lswlr,miss_stream,0.0270,0.1120,1.0000,9367,1,,0,0,536,47,489,379,1650,2226,253
test-math,miss_stream,0.0042,0.1340,1.0000,214193,1,,0,0,7710,2267,5443,1277,62490,71168,907
test-fmath,miss_stream,0.0110,0.1086,1.0000,53949,1,,0,0,1814,372,1442,519,13845,15900,592
test-llong,miss_stream,0.0101,0.0628,1.0000,30132,1,,0,0,661,49,612,408,3060,3801,305
test-lswlr,miss_stream,0.0270,0.1120,1.0000,9367,1,,0,0,536,47,489,379,1650,2226,253
test-math,miss_stream,0.0042,0.1340,1.0000,214193,1,,0,0,7710,2267,5443,1277,62490,71168,907
