benchmark,mode,il1_miss_rate,dl1_miss_rate,ul2_miss_rate,sim_num_insn,sim_elapsed_time,sim_CPI,vc_lookups,vc_hits,mc_lookups,mc_hits,sb_lookups,sb_hits,sb_prefetches,ul2_d_accesses,ul2_i_accesses
test-fmath,victim_stream,0.0110,0.1086,1.0000,53949,1,,1814,271,0,0,1543,534,15135,17276,592
test-llong,victim_stream,0.0101,0.0628,1.0000,30132,1,,661,35,0,0,626,408,3270,4025,305
test-lswlr,victim_stream,0.0270,0.1120,1.0000,9367,1,,536,29,0,0,507,379,1920,2514,253
test-math,victim_stream,0.0042,0.1340,1.0000,214193,1,,7710,1557,0,0,6153,1300,72795,82160,907
test-fmath,victim_stream,0.0110,0.1086,1.0000,53949,1,,1814,271,0,0,1543,534,15135,17276,592
test-llong,victim_stream,0.0101,0.0628,1.0000,30132,1,,661,35,0,0,626,408,3270,4025,305
test-lswlr,victim_stream,0.0270,0.1120,1.0000,9367,1,,536,29,0,0,507,379,1920,2514,253
test-math,victim_stream,0.0042,0.1340,1.0000,214193,1,,7710,1557,0,0,6153,1300,72795,82160,907
test-fmath,victim_stream,0.0110,0.1087,1.0000,53931,1,,1815,271,0,0,1544,535,15135,17276,592
test-llong,victim_stream,0.0101,0.0629,1.0000,30114,1,,662,35,0,0,627,409,3270,4025,305
test-lswlr,victim_stream,0.0271,0.1122,1.0000,9349,1,,537,29,0,0,508,380,1920,2514,253
test-math,victim_stream,0.0042,0.1341,1.0000,214171,1,,7711,1557,0,0,6154,1301,72795,82160,907
test-fmath,victim_stream,0.0110,0.1087,1.0000,53931,1,,1815,271,0,0,1544,535,15135,17276,592
test-llong,victim_stream,0.0101,0.0629,1.0000,30114,1,,662,35,0,0,627,409,3270,4025,305
test-lswlr,victim_stream,0.0271,0.1122,1.0000,9349,1,,537,29,0,0,508,380,1920,2514,253
test-math,victim_stream,0.0042,0.1341,1.0000,214171,1,,7711,1557,0,0,6154,1301,72795,82160,907
test-fmath,victim_stream,0.0110,0.1087,1.0000,53931,1,,1815,271,0,0,1544,535,15135,17276,592
test-llong,victim_stream,0.0101,0.0629,1.0000,30114,1,,662,35,0,0,627,409,3270,4025,305
test-lswlr,victim_stream,0.0271,0.1122,1.0000,9349,1,,537,29,0,0,508,380,1920,2514,253
test-math,victim_stream,0.0042,0.1341,1.0000,214171,1,,7711,1557,0,0,6154,1301,72795,82160,907
test-fmath,victim_stream,0.0110,0.1087,1.0000,53931,1,,1815,271,0,0,1544,535,15135,17276,592
test-llong,victim_stream,0.0101,0.0629,1.0000,30114,1,,662,35,0,0,627,409,3270,4025,305
test-lswlr,victim_stream,0.0271,0.1122,1.0000,9349,1,,537,29,0,0,508,380,1920,2514,253
test-math,victim_stream,0.0042,0.1341,1.0000,214171,1,,7711,1557,0,0,6154,1301,72795,82160,907
