benchmark,mode,il1_miss_rate,dl1_miss_rate,ul2_miss_rate,sim_num_insn,sim_elapsed_time,sim_CPI,vc_lookups,vc_hits,mc_lookups,mc_hits,sb_lookups,sb_hits,sb_prefetches,ul2_d_accesses,ul2_i_accesses
test-fmath,miss_stream,0.0110,0.0347,1.0000,53949,1,,0,0,580,67,513,381,1980,2380,592
test-llong,miss_stream,0.0101,0.0457,1.0000,30132,1,,0,0,481,0,481,379,1530,1838,305
test-lswlr,miss_stream,0.0270,0.0963,1.0000,9367,1,,0,0,461,0,461,375,1290,1568,253
test-math,miss_stream,0.0042,0.0140,1.0000,214193,1,,0,0,806,0,806,430,5640,6432,907
test-fmath,miss_stream,0.0110,0.0348,1.0000,53931,1,,0,0,581,67,514,382,1980,2380,592
test-llong,miss_stream,0.0101,0.0458,1.0000,30114,1,,0,0,482,0,482,380,1530,1838,305
test-lswlr,miss_stream,0.0271,0.0966,1.0000,9349,1,,0,0,462,0,462,376,1290,1568,253
test-math,miss_stream,0.0042,0.0140,1.0000,214171,1,,0,0,807,0,807,431,5640,6432,907
test-fmath,miss_stream,0.0110,0.0348,1.0000,53931,1,,0,0,581,67,514,382,1980,2380,592
test-llong,miss_stream,0.0101,0.0458,1.0000,30114,1,,0,0,482,0,482,380,1530,1838,305
test-lswlr,miss_stream,0.0271,0.0966,1.0000,9349,1,,0,0,462,0,462,376,1290,1568,253
test-math,miss_stream,0.0042,0.0140,1.0000,214171,1,,0,0,807,0,807,431,5640,6432,907
