benchmark,mode,il1_miss_rate,dl1_miss_rate,ul2_miss_rate,sim_num_insn,sim_elapsed_time,sim_CPI,vc_lookups,vc_hits,mc_lookups,mc_hits,sb_lookups,sb_hits,sb_prefetches,ul2_d_accesses,ul2_i_accesses
test-fmath,victim_stream,0.0110,0.0468,1.0000,53949,1,,782,114,0,0,668,313,1065,1995,592
test-llong,victim_stream,0.0101,0.0518,1.0000,30132,1,,545,34,0,0,511,303,624,1261,305
test-lswlr,victim_stream,0.0270,0.1016,1.0000,9367,1,,486,11,0,0,475,301,522,1094,253
test-math,victim_stream,0.0042,0.0353,1.0000,214193,1,,2032,371,0,0,1661,395,3798,6391,907
test-fmath,victim_stream,0.0110,0.0468,1.0000,53949,1,,782,114,0,0,668,313,1065,1995,592
test-llong,victim_stream,0.0101,0.0518,1.0000,30132,1,,545,34,0,0,511,303,624,1261,305
test-lswlr,victim_stream,0.0270,0.1016,1.0000,9367,1,,486,11,0,0,475,301,522,1094,253
test-math,victim_stream,0.0042,0.0353,1.0000,214193,1,,2032,371,0,0,1661,395,3798,6391,907
test-fmath,victim_stream,0.0110,0.0469,1.0000,53931,1,,783,114,0,0,669,314,1065,1995,592
test-llong,victim_stream,0.0101,0.0519,1.0000,30114,1,,546,34,0,0,512,304,624,1261,305
test-lswlr,victim_stream,0.0271,0.1018,1.0000,9349,1,,487,11,0,0,476,302,522,1094,253
test-math,victim_stream,0.0042,0.0353,1.0000,214171,1,,2033,371,0,0,1662,396,3798,6391,907
test-fmath,victim_stream,0.0110,0.0469,1.0000,53931,1,,783,114,0,0,669,314,1065,1995,592
test-llong,victim_stream,0.0101,0.0519,1.0000,30114,1,,546,34,0,0,512,304,624,1261,305
test-lswlr,victim_stream,0.0271,0.1018,1.0000,9349,1,,487,11,0,0,476,302,522,1094,253
test-math,victim_stream,0.0042,0.0353,1.0000,214171,1,,2033,371,0,0,1662,396,3798,6391,907
test-fmath,victim_stream,0.0110,0.0469,1.0000,53931,1,,783,114,0,0,669,314,1065,1995,592
test-llong,victim_stream,0.0101,0.0519,1.0000,30114,1,,546,34,0,0,512,304,624,1261,305
test-lswlr,victim_stream,0.0271,0.1018,1.0000,9349,1,,487,11,0,0,476,302,522,1094,253
test-math,victim_stream,0.0042,0.0353,1.0000,214171,1,,2033,371,0,0,1662,396,3798,6391,907
test-fmath,victim_stream,0.0110,0.0469,1.0000,53931,1,,783,114,0,0,669,314,1065,1995,592
test-llong,victim_stream,0.0101,0.0519,1.0000,30114,1,,546,34,0,0,512,304,624,1261,305
test-lswlr,victim_stream,0.0271,0.1018,1.0000,9349,1,,487,11,0,0,476,302,522,1094,253
test-math,victim_stream,0.0042,0.0353,1.0000,214171,1,,2033,371,0,0,1662,396,3798,6391,907
